trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
56,0,56,0,10,113.11733256500156,113.11733256500156,0.046016583997698035,0.41555555555555557,-0.03333333333333333,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
57,0,57,0,5,115.89001948799705,115.89001948799705,0.025193658002535813,-0.29333333333333333,0.14888888888888888,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
58,0,58,0,5,116.8564639269971,116.8564639269971,0.0241744840022875,0.23222222222222222,-0.26555555555555554,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
59,0,59,0,5,118.1633356559978,118.1633356559978,0.02525980899372371,-0.5066666666666667,-0.07,1,0,0,,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
60,0,60,0,10,119.44946670499485,119.44946670499485,0.050582971998665016,-0.4255555555555556,0.0811111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
61,0,61,0,5,120.84613956399699,120.84613956399699,0.02545913700305391,0.3422222222222222,-0.19111111111111112,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
62,0,62,0,5,122.19573040099931,122.19573040099931,0.02433137299522059,-0.25333333333333335,-0.19444444444444445,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
63,0,63,0,10,126.10022282099817,126.10022282099817,0.04764639100176282,0.09555555555555556,0.11444444444444445,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
64,0,64,0,5,127.26047938699776,127.26047938699776,0.02419757700408809,-0.3655555555555556,0.014444444444444444,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
65,0,65,0,10,128.83331466399977,128.83331466399977,0.06346312900132034,0.32,0.04111111111111111,1,0,0,,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
66,0,66,0,5,130.27185965899844,130.27185965899844,0.025275765001424588,-0.30666666666666664,0.40555555555555556,1,0,0,,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
67,0,67,0,5,131.5532784370007,131.5532784370007,0.025145731000520755,-0.028888888888888888,0.29555555555555557,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
68,0,68,0,5,132.60736993799947,132.60736993799947,0.02544618099636864,-0.056666666666666664,-0.12222222222222222,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
69,0,69,0,10,133.98881028100004,133.98881028100004,0.047128867998253554,0.044444444444444446,0.29,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
70,0,70,0,5,135.47534759599512,135.47534759599512,0.02458881399797974,-0.012222222222222223,0.12777777777777777,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
71,0,71,0,5,136.63637202799873,136.63637202799873,0.026367504004156217,0.11888888888888889,0.3511111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
