trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
155,0,155,0,5,275.592293265996,275.592293265996,0.025657463003881276,0.35444444444444445,0.30444444444444446,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
156,0,156,0,5,277.71024158199725,277.71024158199725,0.025078555998334195,-0.017777777777777778,-0.43,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
157,0,157,0,10,279.3189035549949,279.3189035549949,0.04893992599681951,-0.11,-0.2866666666666667,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
158,0,158,0,5,280.961682768997,280.961682768997,0.025189822998072486,0.4011111111111111,-0.32666666666666666,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
159,0,159,0,5,282.3765494120016,282.3765494120016,0.030215662998671178,-0.23333333333333334,-0.31555555555555553,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
160,0,160,0,10,283.41833985399717,283.41833985399717,0.055322972002613824,0.0,0.3977777777777778,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
161,0,161,0,10,287.5341436480012,287.5341436480012,0.05218166000122437,-0.27111111111111114,0.4766666666666667,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
162,0,162,0,5,289.878319024996,289.878319024996,0.02671411499613896,-0.2111111111111111,-0.12,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
163,0,163,0,10,291.1505986589982,291.1505986589982,0.04652275999978883,-0.5044444444444445,0.38222222222222224,1,0,0,,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
164,0,164,0,5,292.577526219,292.577526219,0.03397095500258729,0.0033333333333333335,-0.23777777777777778,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
165,0,165,0,10,293.94346023399703,293.94346023399703,0.05173095699865371,-0.2577777777777778,-0.1388888888888889,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
166,0,166,0,10,295.87984875799884,295.87984875799884,0.046906059003958944,0.27111111111111114,0.38,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
167,0,167,0,5,299.6757991369959,299.6757991369959,0.02416018900112249,0.08666666666666667,0.04888888888888889,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
168,0,168,0,10,301.42784128299536,301.42784128299536,0.04762790600216249,0.3933333333333333,0.3466666666666667,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
169,0,169,0,5,304.1942252410008,304.1942252410008,0.026194201003818307,0.24888888888888888,-0.22111111111111112,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
170,0,170,0,5,305.7569701050015,305.7569701050015,0.02500869199866429,-0.04111111111111111,-0.27111111111111114,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
171,0,171,0,5,307.4123591079988,307.4123591079988,0.04425138900114689,0.4866666666666667,-0.17,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
172,0,172,0,10,308.93728197699966,308.93728197699966,0.04791214099532226,-0.0811111111111111,-0.39444444444444443,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
173,0,173,0,10,310.5763216179985,310.5763216179985,0.049794133999967016,-0.4588888888888889,0.23555555555555555,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
174,0,174,0,10,312.15825730499637,312.15825730499637,0.047063090998562984,0.15555555555555556,0.3477777777777778,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
175,0,175,0,10,313.60210783399816,313.60210783399816,0.04598250400158577,-0.39666666666666667,0.04888888888888889,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
176,0,176,0,10,315.30966449900006,315.30966449900006,0.04761372600478353,0.052222222222222225,0.15666666666666668,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
177,0,177,0,10,316.49752722300036,316.49752722300036,0.05051972600631416,-0.48,0.3111111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
178,0,178,0,10,317.64619454999774,317.64619454999774,0.04876008800056297,-0.23222222222222222,-0.4077777777777778,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
179,0,179,0,5,321.3934247559955,321.3934247559955,0.025727158994413912,0.4288888888888889,0.4666666666666667,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
180,0,180,0,10,322.88789584700135,322.88789584700135,0.05864025500341086,0.07444444444444444,-0.2833333333333333,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
181,0,181,0,5,324.7772880839984,324.7772880839984,0.02515641499485355,-0.08666666666666667,0.33111111111111113,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
182,0,182,0,10,329.1007849640009,329.1007849640009,0.04618691799987573,0.32666666666666666,0.3188888888888889,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
183,0,183,0,5,330.620535424001,330.620535424001,0.02536263199726818,-0.46,0.39444444444444443,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
184,0,184,0,5,331.8778415699999,331.8778415699999,0.025877986001432873,0.04888888888888889,-0.16,1,0,0,,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
185,0,185,0,5,333.48747405599715,333.48747405599715,0.03641286199854221,-0.30666666666666664,-0.01888888888888889,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
186,0,186,0,5,334.6828601439993,334.6828601439993,0.030021724000107497,0.03,-0.32222222222222224,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
187,0,187,0,5,336.27556222899875,336.27556222899875,0.025774779998755548,0.04666666666666667,-0.3977777777777778,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
188,0,188,0,10,354.00679467699956,354.00679467699956,0.10700253400136717,0.31333333333333335,-0.023333333333333334,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
189,0,189,0,5,357.306408436998,357.306408436998,0.0254502469979343,0.16,-0.0011111111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
190,0,190,0,5,358.619812633995,358.619812633995,0.028727700999297667,0.11555555555555555,-0.24333333333333335,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
191,0,191,0,10,359.88625412599504,359.88625412599504,0.05402347299968824,0.38555555555555554,0.30666666666666664,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
192,0,192,0,10,361.3493094500009,361.3493094500009,0.04923743700055638,0.4811111111111111,0.45444444444444443,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
193,0,193,0,5,362.5794519889969,362.5794519889969,0.02477055200142786,0.43222222222222223,-0.07222222222222222,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
194,0,194,0,10,363.9167082290005,363.9167082290005,0.049090763001004234,0.06888888888888889,0.29333333333333333,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
195,0,195,0,10,364.8725537950013,364.8725537950013,0.050792617999832146,-0.4288888888888889,-0.058888888888888886,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
196,0,196,0,5,366.64405804599664,366.64405804599664,0.027140366997628007,0.2311111111111111,-0.43333333333333335,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
197,0,197,0,5,368.4093101769977,368.4093101769977,0.02506145799998194,-0.36666666666666664,0.02666666666666667,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
198,0,198,0,5,369.8538357809957,369.8538357809957,0.024957541005278472,0.4955555555555556,0.47888888888888886,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
199,0,199,0,10,371.339490528997,371.339490528997,0.04826409499946749,-0.07666666666666666,-0.20777777777777778,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
