trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
63,0,63,0,5,142.0193526,142.0193526,0.0208349,[-0.21851851851851853],[0.19074074074074074],[1],[0],[0],[1.3398525998927653],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
64,0,64,0,5,143.3794157,143.3794157,0.0185596,[0.014814814814814815],[-0.46574074074074073],[1],[0],[0],[1.5592626999132335],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
65,0,65,0,5,144.9768279,144.9768279,0.0204055,[0.26944444444444443],[0.3814814814814815],[1],[0],[0],[1.5750775001943111],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
66,0,66,0,5,146.5628808,146.5628808,0.0185432,[-0.06018518518518518],[0.4722222222222222],[1],[0],[0],[1.3074423000216484],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
67,0,67,0,5,147.8984945,147.8984945,0.0217045,[-0.43148148148148147],[-0.3907407407407407],[1],[0],[0],[1.7537614000029862],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
71,0,71,0,5,155.1509663,155.1509663,0.0171125,[-0.25],[0.33055555555555555],[1],[0],[0],[1.4791439999826252],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
75,0,75,0,5,162.1779488,162.1779488,0.0280574,[0.04722222222222222],[0.08888888888888889],[1],[0],[0],[1.6144387000240386],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
76,0,76,0,5,163.8373389,163.8373389,0.033312,[-0.2564814814814815],[0.30648148148148147],[1],[0],[0],[1.689384300261736],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
81,0,81,0,5,171.9775323,171.9775323,0.0224047,[0.19166666666666668],[0.08888888888888889],[1],[0],[0],[1.8832014999352396],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
82,0,82,0,5,173.8843375,173.8843375,0.0179468,[0.2101851851851852],[-0.48703703703703705],[1],[0],[0],[1.4434340000152588],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
83,0,83,0,5,175.3644744,175.3644744,0.0218924,[0.3537037037037037],[-0.14907407407407408],[1],[0],[0],[1.787064100150019],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
84,0,84,0,5,177.1798659,177.1798659,0.0210985,[-0.09074074074074075],[-0.45925925925925926],[1],[0],[0],[1.7563606998883188],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
85,0,85,0,5,178.9430835,178.9430835,0.0173274,[0.12314814814814815],[-0.09814814814814815],[1],[0],[0],[1.2281351001001894],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
88,0,88,0,5,183.4313839,183.4313839,0.0211125,[0.27685185185185185],[0.1814814814814815],[1],[0],[0],[1.5541667002253234],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
89,0,89,0,5,185.0090138,185.0090138,0.017672,[0.09074074074074075],[-0.03888888888888889],[1],[0],[0],[1.31048130011186],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
91,0,91,0,5,188.0076309,188.0076309,0.0206434,[0.20555555555555555],[0.03518518518518519],[1],[0],[0],[1.5057481001131237],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
92,0,92,0,5,189.5393066,189.5393066,0.0173361,[0.3490740740740741],[0.2175925925925926],[1],[0],[0],[1.428433499764651],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
93,0,93,0,5,190.9844668,190.9844668,0.0169085,[0.225],[-0.225],[1],[0],[0],[1.6767612001858652],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
94,0,94,0,5,192.6835112,192.6835112,0.0180426,[-0.17037037037037037],[-0.044444444444444446],[1],[0],[0],[1.4599627000279725],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
95,0,95,0,5,194.1654854,194.1654854,0.0173287,[-0.48703703703703705],[0.03148148148148148],[1],[0],[0],[1.6599506000056863],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
97,0,97,0,5,197.4303196,197.4303196,0.0184842,[0.26481481481481484],[-0.44166666666666665],[1],[0],[0],[1.641521300189197],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
100,0,100,0,5,203.2411978,203.2411978,0.0182933,[-0.1648148148148148],[-0.15185185185185185],[1],[0],[0],[1.3927188999950886],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
101,0,101,0,5,204.6581308,204.6581308,0.0187327,[-0.22962962962962963],[0.375],[1],[0],[0],[1.5246868999674916],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
102,0,102,0,5,206.2190385,206.2190385,0.0220707,[-0.05555555555555555],[0.32037037037037036],[1],[0],[0],[1.3880321001634002],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
104,0,104,0,5,210.1294826,210.1294826,0.0161488,[0.12777777777777777],[0.3314814814814815],[1],[0],[0],[1.6117079998366535],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
106,0,106,0,5,213.9173163,213.9173163,0.0195184,[-0.4759259259259259],[-0.12685185185185185],[1],[0],[0],[1.4214313998818398],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
